Session,Total,Success,Failure,Correct,Incorrect,Successrate,Correctness,
325,38,37,1,35,2,97,94,
330,38,37,1,33,4,97,89,
331,9,6,3,6,0,66,100,
332,38,37,1,0,0,97,0,
333,0,0,0,0,0,0,0,
334,38,37,1,34,3,97,91,
335,38,37,1,36,1,97,97,
336,9,8,1,8,0,88,100,
825454191,40,39,1,39,0,97,100,
842559087,40,39,1,39,0,97,100,
892890735,40,39,1,39,0,97,100,
809070191,40,39,1,39,0,97,100,
809004655,40,39,1,39,0,97,100,
909405807,40,39,1,39,0,97,100,
825519727,40,39,1,39,0,97,100,
825519727,40,39,1,39,0,97,100,
842296943,40,39,1,39,0,97,100,
859074159,40,39,1,39,0,97,100,
44,40,39,1,39,0,97,100,
45,40,37,3,37,0,92,100,
46,41,37,4,37,0,90,100,
47,41,37,4,37,0,90,100,
48,41,37,4,37,0,90,100,
49,41,37,4,37,0,90,100,
50,41,37,4,37,0,90,100,
51,41,37,4,37,0,90,100,
52,41,37,4,37,0,90,100,
53,41,37,4,37,0,90,100,
54,41,38,3,38,0,92,100,
55,41,38,3,38,0,92,100,
56,1,1,0,1,0,100,100,
57,1,1,0,1,0,100,100,
58,1,0,1,0,0,0,0,
59,1,0,1,0,0,0,0,
60,1,0,1,0,0,0,0,
61,1,0,1,0,0,0,0,
62,1,1,0,1,0,100,100,
63,1,0,1,0,0,0,0,
64,1,0,1,0,0,0,0,
65,1,0,1,0,0,0,0,
66,1,0,1,0,0,0,0,
67,1,0,1,0,0,0,0,
68,1,1,0,1,0,100,100,
69,1,0,1,0,0,0,0,
70,1,1,0,1,0,100,100,
71,1,1,0,1,0,100,100,
72,1,1,0,1,0,100,100,
73,1,1,0,1,0,100,100,
74,1,1,0,1,0,100,100,
75,1,1,0,1,0,100,100,
76,38,13,25,13,0,34,100,
77,38,13,25,13,0,34,100,
78,1,0,1,0,0,0,0,
79,1,0,1,0,0,0,0,
80,38,13,25,13,0,34,100,
81,38,13,25,13,0,34,100,
82,38,19,19,19,0,50,100,
83,38,14,24,14,0,36,100,
84,38,35,3,35,0,92,100,
85,38,37,1,37,0,97,100,
86,1,1,0,1,0,100,100,
87,1,1,0,1,0,100,100,
88,1,1,0,1,0,100,100,
89,1,0,1,0,0,0,0,
90,38,36,2,36,0,94,100,
91,38,36,2,36,0,94,100,
92,38,36,2,36,0,94,100,
93,38,36,2,36,0,94,100,
94,38,37,1,37,0,97,100,
95,38,37,1,37,0,97,100,